nama,kode,harga,jenis,status
IM3 25000,I25,25650,1,1
IM3 SMS 1667 25000,I25S,25650,1,1
IM3 GPRS 25000,ITG25,25650,1,1
IM3 50000,I50,50000,1,1
IM3 100000,I100,98600,1,1
INDOSAT TRANSFER 5000,ITR5,5600,1,1
INDOSAT TRANSFER 10000,ITR10,9600,1,3
INDOSAT TRANSFER 20000,ITR20,17600,1,3
INDOSAT TRANSFER 25000,ITR25,21650,1,3
INDOSAT TRANSFER 50000,ITR50,41700,1,3
INDOSAT TRANSFER 100000,ITR100,81700,1,3
MENTARI REG 2000,M2,3100,1,1
MENTARI 5000,M5,6100,1,1
MENTARI SMS 5000,M5S,6100,1,1
MENTARI GPRS 5000,MTG5,6100,1,1
MENTARI 10000,M10,11100,1,1
MENTARI SMS 250 10000,M10S,11100,1,1
MENTARI GPRS 10000,MTG10,11100,1,1
MENTARI SMS 1667 25000,M25S,25650,1,1
MENTARI GPRS 25000,MTG25,25650,1,1
MENTARI 25000,M25,25650,1,1
MENTARI 50000,M50,50000,1,1
MENTARI 100000,M100,98600,1,1
SIMPATI 5000,S5,6200,1,1
SIMPATI ALTERNATIF 5000,SS5,6200,1,1
SIMPATI ALTERNATIF 10000,SS10,11200,1,1
SIMPATI 10000,S10,11200,1,1
SIMPATI ALTERNATIF 20000,SS20,21050,1,1
SIMPATI 20000,S20,21050,1,1
SIMPATI 25000,S25,26250,1,1
SIMPATI ALTERNATIF 25000,SS25,26250,1,1
SIMPATI 50000,S50,50250,1,1
SIMPATI ALTERNATIF 50000,SS50,50250,1,1
SIMPATI 100000,S100,98100,1,1
SIMPATI ALTERNATIF 100000,SS100,98100,1,1
SIMPATI ALTERNATIF 100000,SI100,98100,1,1
SMART 5000,SM5,5800,1,1
SMART 6000,SM6,6760,1,1
SMART 7000,SM7,7720,1,1
SMART 8000,SM8,8680,1,1
SMART 9000,SM9,9640,1,1
SMART 10000,SM10,10600,1,1
SMART 20000,SM20,20200,1,1
SMART 30000,SM30,29800,1,1
SMART 50000,SM50,49000,1,1
SMART 100000,SM100,97400,1,1
STARONE 5000,O5,6100,1,1
STARONE 10000,O10,11100,1,1
STARONE 25000,O25,25650,1,1
STARONE 50000,O50,50000,1,1
STARONE 100000,O100,98600,1,1
THREE 1000,T1,1975,1,1
THREE 2000,T2,2950,1,1
THREE 3000,T3,3925,1,1
THREE 4000,T4,4900,1,1
THREE 5000,T5,5875,1,1
THREE 6000,T6,6850,1,1
THREE 7000,T7,7825,1,1
THREE 8000,T8,8800,1,1
THREE 9000,T9,9775,1,1
THREE 10000,T10,10750,1,1
THREE 20000,T20,20550,1,1
THREE 30000,T30,30300,1,1
THREE 40000,T40,40050,1,1
THREE 50000,T50,49850,1,1
THREE 75000,T75,74225,1,1
THREE 100000,T100,98600,1,1
THREE 150000,T150,147350,1,1
THREE INTERNET ONLINE QUOTA 500 MEGA,TI5M,34250,1,1
THREE INTERNET ONLINE QUOTA 1 GIGA,TI1G,48500,1,1
THREE INTERNET ONLINE QUOTA 2 GIGA,TI2G,72250,1,1
THREE INTERNET ONLINE QUOTA 5 GIGA,TI5G,119750,1,1
THREE TRANSFER 5RB,TT5,4450,1,2
THREE TRANSFER 10RB,TT10,8200,1,2
THREE TRANSFER 20RB,TT20,15700,1,2
T-SEL TRANSFERPULSA 25000,STR25,24300,1,3
T-SEL TRANSFERPULSA 50000,STR50,46800,1,3
T-SEL TRANSFERPULSA 100000,STR100,92800,1,3
XL EXTRA 10000,XE10,10850,1,1
XL EXTRA 50000,XE50,50200,1,1
XL EXTRA 100000,XE100,99700,1,1
XL REGULER 1000,X1,1800,1,1
XL REGULER ALTERNATIF 5000,XL5,6000,1,1
XL REGULER 5000,X5,5950,1,1
XL REGULER 10000,X10,10850,1,1
XL REGULER ALTERNATIF 10000,XL10,10950,1,1
XL ALTERNATIF 25000,XL25,25600,1,1
XL REGULER 25000,X25,25500,1,1
XL ALTERNATIF2 50000,XA50,50400,1,1
XL ALTERNATIF 50000,XL50,50400,1,1
XL REGULER 50000,X50,50100,1,1
XL ALTERNATIF 100000,XL100,99900,1,1
XL REGULER 100000,X100,99100,1,1
XL NASIONAL PROMO 5000,XP5,6000,1,1
XL NASIONAL PROMO 10000,XP10,10950,1,1
XL NASIONAL PROMO 25000,XP25,25600,1,1
XL NASIONAL PROMO 50000,XP50,50400,1,1
XL NASIONAL PROMO 100000,XP100,99750,1,1
XL TRANSFER PULSA 4500,XTR5,5350,1,3
XL TRANSFER PULSA 9500,XTR10,9900,1,3
XL TRANSFER PULSA 24500,XTR25,23550,1,3
XL TRANSFER PULSA 49500,XTR50,46300,1,3
XL TRANSFER PULSA 99500,XTR100,91800,1,3
XL TRANSFER PULSA 199500,XTR200,182800,1,3
SMART 25000,SM25,25000,1,1
FLEXI ALTERNATIF 5000,FA5,5850,1,1
FLEXI ALTERNATIF 10000,FA10,10750,1,1
FLEXI ALTERNATIF 20000,FA20,20500,1,1
FLEXI ALTERNATIF 50000,FA50,49750,1,1
FLEXI ALTERNATIF 100000,FA100,98500,1,1
FLEXI TRANSFER PULSA 5000,FT5,5500,1,1
FLEXI TRANSFER PULSA 10000,FT10,10080,1,1
FLEXI TRANSFER PULSA 20000,FT20,19080,1,1
FLEXI TRANSFER PULSA 50000,FT50,46080,1,1
FLEXI TRANSFER PULSA 100000,FT100,91080,1,1

